No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,wd,WSPM,AQI,AQI_Category
48.0,2013.0,3.0,2.0,7.0,62.0,71.0,68.0,87.0,2000.0,9.0,127.27654148446612,1018.2,-13.4,N,1.1,107.0,Moderate
49.0,2016.0,3.0,3.0,0.0,73.0,87.0,,76.0,1500.0,601.6902384209501,-2.4,1017.4,-13.0,SSE,1.0,142.0,Moderate
50.0,2013.0,3.0,3.0,1.0,50.0,60.0,36.0,73.0,1399.0,,-3.8,1016.5,-12.2,e,1.4,91.0,Satisfactory
51.0,2013.0,3.0,3.0,2.0,60.0,62.0,37.0,75.0,1500.0,7.0,,1015.1,-12.7,Se,0.8,100.0,Satisfactory
52.0,2013.0,3.0,3.0,3.0,,,225.2858820025741,74.0,1600.0,7.0,-4.0,1014.1,-13.4,SSE,0.7,100.0,Satisfactory
53.0,2013.0,3.0,3.0,4.0,64.0,66.0,31.0,69.0,1200.0,6.0,-4.8,1013.6,-13.2,wsw,0.2,111.0,Moderate
54.0,2013.0,3.0,3.0,5.0,56.0,58.0,34.0,71.0,1300.0,,-5.6,1013.2,-13.0,nw,0.5,93.0,Satisfactory
55.0,2013.0,3.0,3.0,7.0,53.0,59.0,24.0,68.0,1399.0,6.0,-5.7,1013.2,-13.1,SSW,0.0,88.0,Satisfactory
56.0,2013.0,3.0,3.0,7.0,52.0,62.0,25.0,68.0,,601.6902384209501,-3.3,1013.5,-12.8,WSW,0.8,86.0,Satisfactory
57.0,2013.0,7.0,3.0,8.0,58.0,75.0,-19.479077724030905,71.0,2399.0,12.0,-0.3,1012.8,-11.4,ese,0.5,105.0,Moderate
58.0,2013.0,3.0,3.0,9.0,81.0,106.0,69.0,72.0,2000.0,15.0,,1012.5,-12.6,Sse,,169.0,Moderate
59.0,2013.0,3.0,3.0,10.0,84.0,101.0,78.0,84.0,2200.0,17.0,6.5,,139.72168341311215,Nnw,2.1,180.0,Moderate
60.0,2013.0,3.0,3.0,11.0,106.0,148.0,91.0,93.0,1899.0,20.0,9.0,1010.4,-11.6,ESE,1.4,252.0,Poor
61.0,2013.0,3.0,3.0,12.0,,135.0,78.0,89.0,1800.0,24.0,12.2,1009.1,-13.7,Se,1.8,266.0,Poor
,2013.0,3.0,3.0,13.0,113.0,151.0,64.0,339.3900335658202,1500.0,30.0,15.6,1007.5,-13.8,E,5.4,276.0,Poor
63.0,2013.0,7.0,3.0,14.0,100.0,151.0,36.0,53.0,1000.0,52.0,,1006.9,-14.1,wsw,5.3,232.0,Poor
64.0,2013.0,3.0,3.0,15.0,68.0,128.0,14.0,20.0,400.0,78.0,17.0,1006.8,-14.9,WNW,2.3,125.0,Moderate
65.0,2013.0,3.0,3.0,16.0,32.0,90.0,10.0,16.0,400.0,82.0,16.1,1006.9,-14.4,s,0.7,90.0,Satisfactory
66.0,2013.0,3.0,3.0,7.0,21.0,71.0,27.0,21.0,400.0,76.0,13.9,1007.6,-14.1,Ene,0.6,76.0,Satisfactory
67.0,2013.0,3.0,3.0,18.0,,33.0,17.0,22.0,-1392.0460264630833,72.0,12.4,1009.0,-14.4,Sw,0.8,72.0,Satisfactory
68.0,2013.0,3.0,3.0,19.0,18.0,43.0,12.0,35.0,600.0,59.0,8.9,1010.0,-13.5,ne,0.9,59.0,Satisfactory
69.0,2013.0,3.0,3.0,20.0,24.0,56.0,27.0,46.0,800.0,,127.27654148446612,1010.1,-12.2,WnW,0.5,57.0,Satisfactory
70.0,2013.0,3.0,3.0,21.0,29.0,55.0,27.0,42.0,700.0,47.0,6.9,1010.6,-12.3,Wsw,0.7,55.0,Satisfactory
,2013.0,3.0,3.0,22.0,23.0,46.0,,69.0,1300.0,19.0,6.8,1011.2,-11.9,e,1.5,86.0,Satisfactory
72.0,2013.0,3.0,3.0,23.0,30.0,78.0,-19.479077724030905,24.0,700.0,52.0,8.6,1012.1,-11.4,WnW,2.0,78.0,Satisfactory
73.0,2013.0,3.0,4.0,0.0,25.0,42.0,30.0,22.0,400.0,,9.2,1013.2,-12.6,wnw,2.4,57.0,Satisfactory
74.0,2013.0,3.0,4.0,1.0,16.0,38.0,24.0,13.0,300.0,72.0,7.3,1014.2,-12.5,SsW,2.1,72.0,Satisfactory
75.0,2013.0,3.0,4.0,2.0,,31.0,,339.3900335658202,300.0,74.0,6.1,1014.4,-13.5,W,1.4,74.0,Satisfactory
76.0,2013.0,3.0,4.0,3.0,6.0,20.0,4.0,10.0,400.0,76.0,6.6,1014.2,-14.8,nnw,4.0,76.0,Satisfactory
77.0,2013.0,3.0,4.0,4.0,,13.0,,10.0,300.0,80.0,4.8,1014.6,-12.2,WnW,2.6,80.0,Satisfactory
78.0,2013.0,3.0,4.0,5.0,3.0,14.0,31.0,46.0,600.0,,5.4,1015.4,-12.1,s,4.7,57.0,Satisfactory
79.0,2013.0,3.0,4.0,6.0,10.0,24.0,43.0,43.0,500.0,39.0,4.2,1016.1,139.72168341311215,se,3.0,54.0,Satisfactory
80.0,2013.0,3.0,4.0,7.0,12.0,28.0,38.0,339.3900335658202,700.0,,6.3,1016.8,-12.3,nnw,0.8,48.0,Good
81.0,2013.0,3.0,4.0,8.0,12.0,32.0,29.0,34.0,700.0,48.0,8.9,1017.4,-12.9,Nw,1.6,48.0,Good
82.0,2013.0,3.0,4.0,9.0,,29.0,21.0,19.0,500.0,65.0,10.2,,-13.8,NnE,3.8,65.0,Satisfactory
83.0,2013.0,3.0,4.0,10.0,14.0,23.0,16.0,,400.0,76.0,11.4,1017.1,-14.4,ssw,4.2,76.0,Satisfactory
84.0,2013.0,3.0,4.0,11.0,-86.80151781696924,,7.0,,400.0,80.0,12.7,1016.6,-15.1,N,4.4,80.0,Satisfactory
85.0,2013.0,3.0,4.0,12.0,,-112.54314882272872,6.0,,400.0,85.0,14.6,1015.4,-14.6,Se,3.5,85.0,Satisfactory
86.0,2013.0,3.0,8.0,13.0,14.0,16.0,7.0,9.0,400.0,89.0,15.1,1014.2,-15.2,NNW,3.4,89.0,Satisfactory
87.0,2013.0,3.0,4.0,14.0,,13.0,14.0,,400.0,91.0,16.1,1013.1,-16.9,WnW,3.0,91.0,Satisfactory
88.0,2013.0,3.0,4.0,15.0,21.0,24.0,11.0,10.0,,95.0,16.1,1012.5,-16.9,N,2.3,95.0,Satisfactory
89.0,2016.0,3.0,4.0,16.0,10.0,-112.54314882272872,10.0,,400.0,92.0,14.8,1012.0,,nnw,3.3,92.0,Satisfactory
90.0,2013.0,3.0,4.0,17.0,13.0,,8.0,21.0,400.0,,12.9,1012.4,-14.0,S,2.6,86.0,Satisfactory
91.0,2013.0,3.0,4.0,18.0,17.0,29.0,,40.0,500.0,81.0,11.3,1012.7,-13.7,wnw,1.2,81.0,Satisfactory
92.0,2013.0,3.0,4.0,19.0,32.0,54.0,39.0,63.0,700.0,57.0,8.7,1013.2,-12.5,Se,0.5,79.0,Satisfactory
,2013.0,3.0,4.0,20.0,43.0,71.0,,91.0,1100.0,25.0,,1013.4,-11.7,SE,0.2,111.0,Moderate
94.0,2013.0,3.0,4.0,21.0,64.0,-112.54314882272872,41.0,88.0,1500.0,18.0,4.9,1013.4,-11.7,NE,0.8,111.0,Moderate
95.0,2013.0,3.0,4.0,22.0,,123.0,25.0,57.0,1100.0,34.0,4.0,1013.2,-11.6,wsw,0.6,152.0,Moderate
96.0,2013.0,3.0,4.0,23.0,54.0,75.0,21.0,43.0,,95.0,4.2,1012.6,-11.5,S,0.8,95.0,Satisfactory
,2013.0,3.0,5.0,0.0,,69.0,20.0,37.0,,-69.59401846428396,2.8,1012.1,-11.2,Nw,0.4,95.0,Satisfactory
98.0,2013.0,3.0,5.0,1.0,48.0,57.0,38.0,66.0,,95.0,1.8,1110.0343441122984,-11.0,e,0.6,95.0,Satisfactory
99.0,2013.0,3.0,5.0,2.0,65.0,99.0,32.0,54.0,,95.0,127.27654148446612,1011.4,-10.7,wnw,0.6,115.0,Moderate
100.0,2013.0,3.0,8.0,3.0,60.0,,20.0,36.0,1100.0,95.0,0.2,1011.0,-10.4,E,0.2,100.0,Satisfactory
101.0,2013.0,3.0,5.0,4.0,,54.0,40.0,,2299.0,,,1010.7,-10.1,SsE,0.8,103.0,Moderate
102.0,2013.0,3.0,5.0,5.0,,113.0,33.0,61.0,1600.0,95.0,-0.4,,-9.6,NNE,0.0,139.0,Moderate
103.0,2013.0,3.0,5.0,6.0,56.0,78.0,31.0,53.0,1100.0,95.0,-1.0,,-9.4,S,0.8,95.0,Satisfactory
104.0,2013.0,3.0,5.0,7.0,51.0,66.0,34.0,69.0,2000.0,95.0,1.2,1010.4,-9.4,n,0.0,100.0,Satisfactory
105.0,2013.0,3.0,5.0,8.0,68.0,105.0,-19.479077724030905,,1600.0,95.0,6.0,1010.1,-10.7,ne,0.8,125.0,Moderate
106.0,2013.0,3.0,5.0,9.0,,92.0,64.0,75.0,1899.0,95.0,7.8,1009.5,-10.6,sw,1.0,125.0,Moderate
107.0,2013.0,3.0,5.0,10.0,87.0,117.0,81.0,92.0,2000.0,,9.3,1008.7,-9.3,Ene,1.4,190.0,Moderate
108.0,2013.0,3.0,5.0,11.0,107.0,160.0,66.0,,1500.0,95.0,11.0,1007.8,-9.4,Nnw,1.9,256.0,Poor
109.0,2013.0,3.0,5.0,12.0,109.0,139.0,52.0,65.0,1399.0,55.0,12.1,1006.5,-9.0,wsw,,262.0,Poor
110.0,2013.0,3.0,8.0,13.0,118.0,133.0,56.0,55.0,,601.6902384209501,13.2,1005.1,-8.1,NE,0.9,293.0,Poor
111.0,2016.0,3.0,5.0,14.0,126.0,127.0,,60.0,,95.0,14.1,1004.3,-8.6,Nne,,305.0,Very Poor
112.0,2013.0,3.0,5.0,15.0,124.0,,62.0,,1500.0,92.0,13.5,,-8.4,N,14.95458546289305,303.0,Very Poor
113.0,2013.0,3.0,5.0,16.0,149.0,153.0,59.0,,1500.0,86.0,13.3,1003.9,-8.0,WsW,1.1,322.0,Very Poor
114.0,2013.0,3.0,5.0,17.0,151.0,158.0,,104.0,1600.0,,12.4,1004.5,-8.2,WnW,1.0,324.0,Very Poor
115.0,2013.0,3.0,5.0,18.0,158.0,168.0,64.0,106.0,1700.0,81.0,8.9,1005.0,-7.8,S,0.8,329.0,Very Poor
116.0,2013.0,3.0,5.0,19.0,161.0,172.0,69.0,123.0,1899.0,81.0,7.7,1005.4,-7.6,SE,0.2,403.0,Severe
117.0,2013.0,3.0,5.0,20.0,173.0,187.0,68.0,127.0,2299.0,,6.3,1005.9,-7.3,ssw,0.7,479.0,Severe
118.0,2013.0,3.0,8.0,21.0,191.0,,55.0,94.0,2100.0,81.0,5.6,1006.0,,SsW,,454.0,Severe
119.0,2013.0,3.0,5.0,22.0,181.0,183.0,52.0,78.0,1899.0,81.0,4.9,1005.8,-7.0,ssw,1.7,411.0,Severe
,2013.0,3.0,5.0,23.0,141.0,,50.0,74.0,1899.0,,3.7,1005.7,-6.9,WNW,0.4,316.0,Very Poor
121.0,2013.0,3.0,6.0,0.0,152.0,154.0,,115.0,2700.0,81.0,,1005.4,-6.7,ne,2.0,325.0,Very Poor
122.0,2013.0,3.0,6.0,1.0,180.0,195.0,,72.0,2000.0,81.0,3.9,,-6.4,SsE,0.8,440.0,Severe
123.0,2013.0,3.0,6.0,2.0,146.0,153.0,,100.0,2399.0,81.0,3.5,1004.8,-6.5,w,0.7,320.0,Very Poor
124.0,2013.0,3.0,6.0,3.0,170.0,179.0,55.0,74.0,,81.0,3.7,1004.7,-6.3,WSW,1.3,441.0,Severe
125.0,2016.0,3.0,6.0,4.0,149.0,,59.0,,2500.0,81.0,2.4,1004.7,-6.2,NNW,1.0,322.0,Very Poor
126.0,2013.0,3.0,6.0,5.0,182.0,202.0,79.0,101.0,2500.0,81.0,127.27654148446612,,-5.8,SE,0.9,411.0,Severe
127.0,2013.0,3.0,6.0,6.0,182.0,187.0,225.2858820025741,94.0,2399.0,81.0,3.1,1005.1,-5.6,nw,0.2,467.0,Severe
128.0,2016.0,3.0,8.0,7.0,187.0,,82.0,,2700.0,81.0,4.7,,-4.9,ne,0.6,440.0,Severe
129.0,2016.0,3.0,6.0,8.0,195.0,200.0,86.0,-50.54154295060326,2299.0,81.0,5.5,1006.2,-4.1,W,14.95458546289305,492.0,Severe
130.0,2013.0,3.0,6.0,9.0,,200.0,81.0,86.0,2799.0,81.0,127.27654148446612,1006.1,-5.5,EsE,0.5,490.0,Severe
131.0,2013.0,3.0,6.0,10.0,795.6315748313708,219.0,109.0,114.0,3600.0,,8.8,1005.8,-5.5,NE,0.7,435.0,Severe
132.0,2013.0,3.0,6.0,7.0,239.0,280.0,123.0,126.0,3700.0,81.0,10.6,1004.6,-5.0,n,0.9,485.0,Severe
133.0,2013.0,3.0,6.0,12.0,271.0,-112.54314882272872,142.0,142.0,3799.0,81.0,,1003.4,-4.7,wnw,0.8,409.0,Severe
134.0,2013.0,3.0,6.0,13.0,281.0,315.0,118.0,135.0,3399.0,81.0,13.4,1002.5,-4.3,ese,1.2,413.0,Severe
135.0,2013.0,7.0,6.0,14.0,263.0,284.0,,152.0,3600.0,81.0,,1001.8,-4.1,ese,2.3,406.0,Severe
136.0,2016.0,3.0,6.0,15.0,293.0,347.0,118.0,160.0,3299.0,81.0,13.6,,-3.7,nnw,2.2,418.0,Severe
137.0,2013.0,3.0,8.0,16.0,302.0,352.0,112.0,,3100.0,66.0,13.3,1002.2,-3.9,wnw,1.6,421.0,Severe
138.0,2013.0,3.0,6.0,17.0,,342.0,107.0,141.0,2700.0,60.0,127.27654148446612,1002.7,-3.8,EsE,1.3,425.0,Severe
139.0,2013.0,3.0,6.0,18.0,280.0,300.0,225.2858820025741,135.0,2600.0,39.0,10.6,1003.7,-3.9,Sse,1.2,413.0,Severe
,2013.0,3.0,6.0,19.0,265.0,281.0,104.0,137.0,2700.0,37.0,7.1,1004.5,-3.5,ene,1.4,407.0,Severe
141.0,2013.0,3.0,6.0,20.0,268.0,285.0,107.0,136.0,3299.0,,6.2,1004.9,,ese,0.7,408.0,Severe
142.0,2013.0,7.0,6.0,21.0,272.0,281.0,-19.479077724030905,156.0,4799.0,37.0,5.5,1004.5,-3.6,se,0.6,409.0,Severe
143.0,2013.0,3.0,6.0,22.0,339.0,,118.0,-50.54154295060326,5500.0,35.0,4.7,,-3.6,SSW,0.7,436.0,Severe
144.0,2013.0,3.0,6.0,23.0,326.0,360.0,113.0,140.0,4500.0,30.0,4.5,1004.1,-3.3,W,14.95458546289305,431.0,Severe
,2013.0,3.0,7.0,0.0,282.0,287.0,98.0,131.0,3899.0,30.0,5.3,1004.2,-3.3,SSE,,413.0,Severe
146.0,2013.0,3.0,7.0,1.0,206.0,249.0,77.0,117.0,3399.0,22.0,6.2,1004.2,-3.2,SsW,1.4,440.0,Severe
147.0,2013.0,3.0,7.0,2.0,,,80.0,,3000.0,601.6902384209501,3.0,1003.8,-3.8,Wnw,0.5,500.0,Severe
148.0,2013.0,3.0,7.0,3.0,208.0,211.0,72.0,,2899.0,22.0,1.4,1003.6,-4.3,wsw,1.0,439.0,Severe
149.0,2013.0,3.0,7.0,4.0,198.0,200.0,73.0,110.0,3700.0,22.0,1.3,1003.5,-5.0,SE,1.8,497.0,Severe
150.0,2013.0,3.0,7.0,5.0,201.0,215.0,,108.0,4700.0,22.0,1.0,,-5.3,s,1.5,424.0,Severe
151.0,2013.0,3.0,7.0,6.0,202.0,234.0,72.0,102.0,4400.0,22.0,0.2,1003.6,-5.4,SsE,1.0,480.0,Severe
152.0,2013.0,3.0,7.0,7.0,,206.0,65.0,95.0,4400.0,22.0,4.9,1003.6,-4.4,W,0.1,431.0,Severe
153.0,2013.0,3.0,7.0,8.0,,180.0,114.0,96.0,,22.0,7.0,,-3.6,ssw,1.4,318.0,Very Poor
154.0,2013.0,3.0,7.0,9.0,140.0,200.0,92.0,114.0,4599.0,22.0,8.9,1003.2,-3.7,NNW,1.0,316.0,Very Poor
155.0,2013.0,3.0,7.0,7.0,169.0,240.0,138.0,150.0,4200.0,,12.5,1002.1,-5.5,wsw,1.1,470.0,Severe
156.0,2013.0,7.0,7.0,11.0,225.0,309.0,100.0,111.0,2299.0,22.0,15.0,1000.3,-4.9,ENE,0.8,381.0,Very Poor
157.0,2013.0,3.0,7.0,12.0,174.0,183.0,58.0,62.0,1300.0,41.0,16.3,998.4,-4.3,Ese,1.5,405.0,Severe
158.0,2013.0,3.0,7.0,13.0,71.0,82.0,46.0,53.0,1100.0,65.0,17.3,996.7,-4.1,ENE,1.4,135.0,Moderate
159.0,2013.0,3.0,7.0,14.0,83.0,88.0,53.0,98.0,1600.0,601.6902384209501,16.6,995.5,-3.5,NNW,,176.0,Moderate
160.0,2013.0,3.0,7.0,15.0,137.0,133.0,,177.0,2500.0,65.0,16.8,994.7,-3.4,ene,1.0,313.0,Very Poor
161.0,2013.0,3.0,7.0,16.0,207.0,230.0,81.0,186.0,2899.0,65.0,16.6,994.1,-3.5,WnW,0.8,489.0,Severe
162.0,2013.0,3.0,7.0,17.0,258.0,-112.54314882272872,80.0,163.0,12165.106651990933,65.0,14.5,993.9,-3.3,ne,0.7,404.0,Severe
163.0,2013.0,3.0,7.0,18.0,264.0,298.0,77.0,141.0,2500.0,65.0,12.5,994.5,-3.4,Wnw,0.5,406.0,Severe
164.0,2013.0,3.0,7.0,19.0,,247.0,105.0,191.0,3200.0,21.0,11.8,994.7,-3.2,WNW,0.8,461.0,Severe
165.0,2013.0,3.0,7.0,20.0,795.6315748313708,286.0,98.0,199.0,3399.0,65.0,9.8,994.6,,NE,0.6,403.0,Severe
166.0,2013.0,3.0,7.0,21.0,262.0,282.0,96.0,171.0,3000.0,65.0,7.9,995.1,-3.0,E,1.2,405.0,Severe
167.0,2013.0,3.0,7.0,22.0,,241.0,82.0,166.0,3799.0,65.0,8.1,995.1,-3.4,W,0.9,489.0,Severe
168.0,2013.0,3.0,7.0,7.0,249.0,261.0,-19.479077724030905,145.0,3500.0,-69.59401846428396,6.8,995.0,-3.2,NnW,1.3,481.0,Severe
169.0,2013.0,3.0,8.0,0.0,224.0,238.0,60.0,,3200.0,65.0,5.9,995.3,-3.0,s,0.0,496.0,Severe
170.0,2013.0,3.0,8.0,1.0,216.0,227.0,68.0,140.0,5299.0,65.0,4.4,,-3.2,SSE,0.8,444.0,Severe
171.0,2013.0,3.0,8.0,2.0,263.0,292.0,71.0,141.0,6299.0,,4.0,995.2,-3.5,Se,0.6,406.0,Severe
172.0,2013.0,7.0,8.0,7.0,290.0,,68.0,131.0,5000.0,65.0,4.5,994.7,-3.1,SSW,1.4,417.0,Severe
173.0,2013.0,3.0,8.0,4.0,795.6315748313708,273.0,63.0,125.0,4700.0,65.0,16.7,994.9,-5.8,WNW,5.2,403.0,Severe
174.0,2013.0,3.0,8.0,5.0,233.0,,57.0,105.0,3299.0,65.0,15.4,995.6,-6.2,NE,0.7,472.0,Severe
175.0,2013.0,3.0,8.0,7.0,193.0,211.0,30.0,36.0,700.0,-69.59401846428396,12.7,996.2,-5.4,Ese,1.7,436.0,Severe
176.0,2013.0,3.0,8.0,7.0,72.0,135.0,-19.479077724030905,-50.54154295060326,1500.0,65.0,14.9,996.7,-5.5,wsw,1.3,139.0,Moderate
177.0,2016.0,3.0,8.0,8.0,79.0,159.0,46.0,84.0,,65.0,11.2,997.8,-4.1,WnW,1.7,162.0,Moderate
178.0,2013.0,3.0,8.0,9.0,85.0,182.0,66.0,87.0,2399.0,65.0,14.5,997.9,-2.9,nnw,1.7,183.0,Moderate
179.0,2013.0,3.0,8.0,10.0,180.0,257.0,59.4048,94.0274,-1392.0460264630833,65.0,17.3,997.3,-3.5,Ese,1.4,479.0,Severe
180.0,2013.0,3.0,8.0,11.0,207.0,264.0,63.0,96.0,2200.0,-69.59401846428396,,996.7,-3.6,SE,2.1,452.0,Severe
181.0,2013.0,3.0,8.0,12.0,179.0,222.0,,76.0,,67.0,20.6,995.8,-3.9,nw,2.5,416.0,Severe
182.0,2013.0,3.0,8.0,13.0,153.0,202.0,,75.0,1500.0,77.0,21.9,994.7,-4.3,Sse,3.0,326.0,Very Poor
183.0,2013.0,3.0,8.0,14.0,159.0,244.0,40.0,88.0,1600.0,86.0,17.6,995.0,1.5,nne,4.5,330.0,Very Poor
184.0,2013.0,3.0,8.0,15.0,,653.0,80.0,141.0,4500.0,107.0,14.8,996.1,0.2,nnw,2.5,500.0,Severe
185.0,2013.0,3.0,8.0,16.0,289.0,,83.0,86.0,2899.0,601.6902384209501,13.1,996.5,-0.2,W,,416.0,Severe
